,index,shunt,shunt_v,source,source_v,bias,millisecs,current_a,power_w,secs
255,255,431,0.30249,1668,1.208496,18,2580051,0.08642571428571429,0.10444513001142858,2580.051
256,256,434,0.304688,1670,1.209961,18,2590051,0.08705371428571429,0.10533159919085715,2590.051
257,257,445,0.312744,1668,1.208496,18,2600052,0.08935542857142857,0.10798567800685714,2600.052
258,258,441,0.309814,1672,1.211426,18,2610052,0.0885182857142857,0.10723335278971426,2610.052
259,259,443,0.311279,1672,1.211426,18,2620052,0.08893685714285714,0.10774042110114285,2620.052
260,260,446,0.313477,1669,1.209229,18,2630052,0.08956485714285714,0.10830442263800001,2630.052
261,261,441,0.309814,1669,1.209229,18,2640052,0.0885182857142857,0.10703887811599999,2640.052
262,262,459,0.322998,1668,1.208496,18,2650053,0.09228514285714286,0.11152622600228572,2650.053
263,263,460,0.32373,1669,1.209229,18,2660053,0.09249428571428572,0.11184677262000002,2660.053
264,264,454,0.319336,1668,1.208496,18,2670053,0.09123885714285715,0.1102617939017143,2670.053
265,265,440,0.309082,1668,1.208496,18,2680053,0.08830914285714286,0.10672124590628572,2680.053
266,266,442,0.310547,1669,1.209229,18,2690053,0.08872771428571428,0.10729212521800001,2690.053
267,267,456,0.320801,1669,1.209229,18,2700053,0.09165742857142857,0.11083482069400001,2700.053
268,268,452,0.317871,1670,1.209961,18,2710054,0.09082028571428571,0.10988900372314286,2710.054
269,269,446,0.313477,1668,1.208496,18,2720054,0.08956485714285714,0.10823877159771428,2720.054
270,270,441,0.309814,1668,1.208496,18,2730054,0.0885182857142857,0.10697399421257142,2730.054
271,271,436,0.306152,1668,1.208496,18,2740054,0.087472,0.105709562112,2740.054
272,272,441,0.309814,1668,1.208496,18,2750054,0.0885182857142857,0.10697399421257142,2750.054
273,273,446,0.313477,1669,1.209229,18,2760055,0.08956485714285714,0.10830442263800001,2760.055
274,274,433,0.303955,1670,1.209961,18,2770055,0.08684428571428571,0.10507819878714285,2770.055
275,275,441,0.309814,1668,1.208496,18,2780055,0.0885182857142857,0.10697399421257142,2780.055
276,276,433,0.303955,1668,1.208496,18,2790055,0.08684428571428571,0.10495097190857142,2790.055
277,277,430,0.303223,1667,1.209229,16,2800055,0.08663514285714287,0.10476172716200002,2800.055
278,278,436,0.30542,1669,1.208496,19,2810056,0.08726285714285716,0.1054568138057143,2810.056
279,279,433,0.303955,1668,1.208496,18,2820056,0.08684428571428571,0.10495097190857142,2820.056
280,280,426,0.298828,1671,1.210693,18,2830056,0.08537942857142856,0.10336827651542857,2830.056
281,281,426,0.298828,1669,1.209229,18,2840056,0.08537942857142856,0.103243281032,2840.056
282,282,433,0.303955,1671,1.210693,18,2850056,0.08684428571428571,0.1051417688042857,2850.056
283,283,430,0.301758,1669,1.209229,18,2860056,0.08621657142857143,0.10425557845200002,2860.056
284,284,430,0.301758,1671,1.210693,18,2870057,0.08621657142857143,0.10438179951257144,2870.057
285,285,414,0.290039,1672,1.211426,18,2880057,0.08286828571428571,0.10038879588971428,2880.057
286,286,437,0.306885,1672,1.211426,18,2890057,0.08768142857142858,0.10621956228857142,2890.057
287,287,432,0.303223,1668,1.208496,18,2900057,0.08663514285714287,0.10469822360228573,2900.057
288,288,434,0.304688,1669,1.209229,18,2910057,0.08705371428571429,0.10526787587200001,2910.057
289,289,432,0.30249,1666,1.206299,19,2920058,0.08642571428571429,0.10425525271714287,2920.058
290,290,429,0.301025,1669,1.209229,18,2930058,0.08600714285714285,0.10400233135,2930.058
291,291,434,0.303955,1666,1.206299,19,2940058,0.08684428571428571,0.10476017501285713,2940.058
292,292,428,0.300293,1669,1.209229,18,2950058,0.085798,0.10374942974200001,2950.058
293,293,438,0.307617,1670,1.209961,18,2960058,0.08789057142857142,0.1063441636962857,2960.058
